disp_x,disp_y,id,x,y,z,weight_disp_x,weight_disp_y,diff_disp_x,diff_disp_y,weighted_diff_disp,weighted_diff_disp_2noise,weighted_diff_disp_5noise
3.6400661276794e-08,-1.0941332137212e-06,404,0.000125,0.00095,0,0.0,1000000000000.0,0.0,1.083980130756e-07,108398.0130756,107884.0215952504,109923.11787436472
-4.9944134293784e-08,-1.1011356832357e-06,405,0.00015,0.00095,0,0.0,1000000000000.0,0.0,9.508132532660009e-08,95081.3253266001,94578.84009108815,94027.06768953263
-1.3614038789467e-07,-1.1004901282542e-06,406,0.000175,0.00095,0,0.0,1000000000000.0,0.0,8.28979321574001e-08,82897.93215740011,83748.16691232033,85000.53903200007
-2.2248965726729e-07,-1.0923560440375e-06,407,0.0002,0.00095,0,0.0,1000000000000.0,0.0,7.200143523149995e-08,72001.43523149996,72189.5076284222,71480.9098829965
-3.0930634383086e-07,-1.0768226027728e-06,408,0.000225,0.00095,0,0.0,1000000000000.0,0.0,6.235358518389986e-08,62353.58518389986,63628.416301025056,62408.01615666949
-3.9687902529886e-07,-1.0537741177405e-06,409,0.00025,0.00095,0,0.0,1000000000000.0,0.0,5.382638864740001e-08,53826.38864740001,53718.692671472716,54238.962835551865
-4.8544540327311e-07,-1.0227953185004e-06,410,0.000275,0.00095,0,0.0,1000000000000.0,0.0,4.6260068522099965e-08,46260.068522099966,45571.11551037661,44581.056099151756
-5.7516268726655e-07,-9.8308273408457e-07,411,0.0003,0.00095,0,0.0,1000000000000.0,0.0,3.949356126902999e-08,39493.56126902999,39541.49008754149,36534.1860332632
-6.6606494653593e-07,-9.3333725454445e-07,412,0.000325,0.00095,0,0.0,1000000000000.0,0.0,3.337881706194997e-08,33378.81706194997,32148.231936504468,32477.217722010664
-7.5800380371874e-07,-8.716142536104e-07,413,0.00035,0.00095,0,0.0,1000000000000.0,0.0,2.7786047234470016e-08,27786.047234470017,28819.712556559884,24545.811366771763
-8.5057636617846e-07,-7.9510199590055e-07,414,0.000375,0.00095,0,0.0,1000000000000.0,0.0,2.2604216017670005e-08,22604.216017670005,22602.209379306605,20880.840472413664
4.1471440278796e-07,-1.1729120819504e-06,420,2.5e-05,0.001,0,0.0,1000000000000.0,0.0,1.494234432188998e-07,149423.4432188998,149073.24881070878,150813.79565894947
4.9815421863996e-07,-1.1530455565229e-06,421,0.0,0.001,0,0.0,1000000000000.0,0.0,1.5441162710410002e-07,154411.6271041,154763.9622294323,152848.82101820345
3.2862415632623e-07,-1.1955288355505e-06,422,5e-05,0.001,0,0.0,1000000000000.0,0.0,1.434579151574e-07,143457.9151574,143532.46740092573,144014.61203567585
2.3891108344374e-07,-1.2180828455509e-06,423,7.5e-05,0.001,0,0.0,1000000000000.0,0.0,1.3625602199719992e-07,136256.02199719992,136477.61712027751,136202.0345403752
1.450716056922e-07,-1.237661642165e-06,424,0.0001,0.001,0,0.0,1000000000000.0,0.0,1.2566928841720004e-07,125669.28841720003,126096.5355944462,125313.44526223179
4.8000581130367e-08,-1.2514450533497e-06,425,0.000125,0.001,0,0.0,1000000000000.0,0.0,1.1334300365219999e-07,113343.00365219999,113270.56573789223,114810.09855435904
-5.1350766029377e-08,-1.2580796980822e-06,426,0.00015,0.001,0,0.0,1000000000000.0,0.0,1.0073517859160007e-07,100735.17859160007,100682.92666255964,105027.956185148
-1.5237498895296e-07,-1.2570935024521e-06,427,0.000175,0.001,0,0.0,1000000000000.0,0.0,8.869882528530014e-08,88698.82528530015,89111.07638511393,86295.5396590471
-2.5486513339412e-07,-1.2483830452832e-06,428,0.0002,0.001,0,0.0,1000000000000.0,0.0,7.762148164270001e-08,77621.48164270002,77236.26776031587,78442.07023004409
-3.5895159696004e-07,-1.2318948819844e-06,429,0.000225,0.001,0,0.0,1000000000000.0,0.0,6.76100666654999e-08,67610.0666654999,67994.37837496026,66998.59229527741
-4.6501568747137e-07,-1.2074388774121e-06,430,0.00025,0.001,0,0.0,1000000000000.0,0.0,5.8623499624300093e-08,58623.49962430009,58835.99158285032,58285.278054405186
-5.736121870839e-07,-1.1745682793374e-06,431,0.000275,0.001,0,0.0,1000000000000.0,0.0,5.0553304190699946e-08,50553.30419069994,50244.06567641149,50685.968179440446
-6.854057288523e-07,-1.1324811962861e-06,432,0.0003,0.001,0,0.0,1000000000000.0,0.0,4.326827587720011e-08,43268.27587720011,44480.722328951364,45388.365324809
-8.011143335896e-07,-1.0799108837926e-06,433,0.000325,0.001,0,0.0,1000000000000.0,0.0,3.663722066450001e-08,36637.22066450001,37685.35148944023,35946.49253805362
-9.2144661634015e-07,-1.014973823664e-06,434,0.00035,0.001,0,0.0,1000000000000.0,0.0,3.0539195999900106e-08,30539.195999900105,30217.234196469566,27873.849646585924
-1.0470087254657e-06,-9.3493155458919e-07,435,0.000375,0.001,0,0.0,1000000000000.0,0.0,2.4866997127119948e-08,24866.997127119947,26314.51805246676,25183.86244140591
-1.1781317215981e-06,-8.3578089657632e-07,436,0.0004,0.001,0,0.0,1000000000000.0,0.0,1.9527191361710006e-08,19527.191361710007,19570.149464669474,19487.778417297206
1.645961424165e-06,-1.8303129957567e-06,22,0.000275,0.0,0,1000000000.0,0.0,-3.562594944989999e-08,0.0,-35.62594944989999,-32.59252335261639,-31.717694436481963
1.8006681171289e-06,-1.7270985401564e-06,24,0.0003,0.0,0,1000000000.0,0.0,-3.782337390209989e-08,0.0,-37.823373902099895,-39.28533875228043,-35.278868314313435
1.9565676775918e-06,-1.6100668762582e-06,26,0.000325,0.0,0,1000000000.0,0.0,-3.978286527059994e-08,0.0,-39.78286527059994,-41.82093347948704,-38.02317439404217
2.1136569906651e-06,-1.4772827652333e-06,28,0.00035,0.0,0,1000000000.0,0.0,-4.149599891690007e-08,0.0,-41.49599891690007,-40.27507046520723,-44.993333521884715
